target_id,target_label,judge_id,judge_label,n_pairs,mean_delta,median_delta,ci95_low,ci95_high,positive_rate,zero_rate,negative_rate,cohens_dz,paired_t_stat,paired_t_p,wilcoxon_stat,wilcoxon_p,metric,ci_method,effect
deepseek-chat,DeepSeek-chat,deepseek-v4-pro,DeepSeek judge,1000,0.0446,0.0,0.031700000000000006,0.0579,0.063,0.921,0.016,0.20786526912601433,6.573276968820831,7.915484563284112e-11,227318.0,0.005145410116866957,behavior_risk,paired_percentile_bootstrap_10000,load_coded_contrast
deepseek-chat,DeepSeek-chat,deepseek-v4-pro,DeepSeek judge,1000,0.0754,0.0,0.0567,0.09490000000000001,0.077,0.909,0.014,0.2438732338851671,7.711948794280822,2.9880784354751026e-14,219711.5,0.00020847691185285302,behavior_risk,paired_percentile_bootstrap_10000,scarcity_coded_contrast
deepseek-chat,DeepSeek-chat,deepseek-v4-pro,DeepSeek judge,1000,0.0176,0.0,-0.008400000000000001,0.0432,0.041,0.921,0.038,0.042170428010007345,1.3335460241578512,0.18265665487104077,248673.0,0.8474292292461406,behavior_risk,paired_percentile_bootstrap_10000,contrast_of_contrasts
deepseek-chat,DeepSeek-chat,deepseek-v4-pro,DeepSeek judge,1000,0.008666666666666663,0.0,-0.0070833333333333364,0.02466666666666666,0.264,0.388,0.348,0.03375150968918782,1.0673164508707522,0.28608681510702316,221264.5,0.0013722570105298454,risk_score,paired_percentile_bootstrap_10000,load_coded_contrast
deepseek-chat,DeepSeek-chat,deepseek-v4-pro,DeepSeek judge,1000,0.048499999999999995,0.0,0.028333333333333325,0.06933333333333332,0.309,0.369,0.322,0.1457497136465411,4.609010634403952,4.569465269056361e-06,248955.0,0.886420457723767,risk_score,paired_percentile_bootstrap_10000,scarcity_coded_contrast
deepseek-chat,DeepSeek-chat,deepseek-v4-pro,DeepSeek judge,1000,0.029666666666666668,0.0,-0.000666666666666663,0.0605,0.314,0.39,0.296,0.06002729472208223,1.898229730999839,0.05795383112120203,239144.5,0.22011000817294002,risk_score,paired_percentile_bootstrap_10000,contrast_of_contrasts
deepseek-chat,DeepSeek-chat,gemini-3.1-pro-low,Gemini pro-low judge,1000,0.0494,0.0,0.03559999999999999,0.0638,0.053,0.944,0.003,0.21080612070608606,6.666274861356148,4.332677081097788e-11,225893.5,0.0027031408907121387,behavior_risk,paired_percentile_bootstrap_10000,load_coded_contrast
deepseek-chat,DeepSeek-chat,gemini-3.1-pro-low,Gemini pro-low judge,1000,0.0806,0.0,0.060599999999999994,0.10169999999999998,0.068,0.927,0.005,0.24097251870801029,7.6202201262484754,5.869003786945167e-14,219747.0,0.00019118889740623348,behavior_risk,paired_percentile_bootstrap_10000,scarcity_coded_contrast
deepseek-chat,DeepSeek-chat,gemini-3.1-pro-low,Gemini pro-low judge,1000,0.0212,0.0,-0.006204999999999996,0.0488,0.03,0.945,0.025,0.04780948633446173,1.5118687057959372,0.13088352009877915,247655.0,0.7491789058999934,behavior_risk,paired_percentile_bootstrap_10000,contrast_of_contrasts
deepseek-chat,DeepSeek-chat,gemini-3.1-pro-low,Gemini pro-low judge,1000,0.05216666666666667,0.0,0.03716666666666667,0.06758541666666665,0.055,0.939,0.006,0.20764008004948556,6.566155864960622,8.286775053633684e-11,226374.0,0.003343123465820752,risk_score,paired_percentile_bootstrap_10000,load_coded_contrast
deepseek-chat,DeepSeek-chat,gemini-3.1-pro-low,Gemini pro-low judge,1000,0.087,0.0,0.06541458333333332,0.10966666666666666,0.069,0.923,0.008,0.2409547798667689,7.619659174834728,5.893156534952941e-14,220673.0,0.0003045893854737894,risk_score,paired_percentile_bootstrap_10000,scarcity_coded_contrast
deepseek-chat,DeepSeek-chat,gemini-3.1-pro-low,Gemini pro-low judge,1000,0.021666666666666667,0.0,-0.008166666666666664,0.05166666666666666,0.031,0.94,0.029,0.045234539257416856,1.4304417296173884,0.15290297230796057,249070.5,0.8846970813530395,risk_score,paired_percentile_bootstrap_10000,contrast_of_contrasts
deepseek-chat,DeepSeek-chat,gpt-5.5,GPT judge,1000,0.0433,0.0,0.029799999999999997,0.0571,0.058,0.932,0.01,0.1944920107876184,6.150377407949131,1.1164743830818986e-09,226887.0,0.004196807112625846,behavior_risk,paired_percentile_bootstrap_10000,load_coded_contrast
deepseek-chat,DeepSeek-chat,gpt-5.5,GPT judge,1000,0.0713,0.0,0.0517,0.09120249999999996,0.074,0.914,0.012,0.22354717991389045,7.069182530353372,2.9234871138828958e-12,220284.5,0.00026643077915196924,behavior_risk,paired_percentile_bootstrap_10000,scarcity_coded_contrast
deepseek-chat,DeepSeek-chat,gpt-5.5,GPT judge,1000,0.020999999999999998,0.0,-0.0058000000000000005,0.048,0.038,0.933,0.029,0.04814320175748916,1.5224217140668703,0.12821990649807596,245885.0,0.592567186332407,behavior_risk,paired_percentile_bootstrap_10000,contrast_of_contrasts
deepseek-chat,DeepSeek-chat,gpt-5.5,GPT judge,1000,0.03866666666666666,0.0,0.02333333333333333,0.054666666666666655,0.115,0.791,0.094,0.15208609641238963,4.80938465107114,1.746894600403583e-06,239134.0,0.19367421262829387,risk_score,paired_percentile_bootstrap_10000,load_coded_contrast
deepseek-chat,DeepSeek-chat,gpt-5.5,GPT judge,1000,0.08166666666666667,0.0,0.06066666666666667,0.10316666666666666,0.157,0.772,0.071,0.23724806192530642,7.502442461446406,1.382200130663361e-13,210119.5,3.021572125255435e-06,risk_score,paired_percentile_bootstrap_10000,scarcity_coded_contrast
deepseek-chat,DeepSeek-chat,gpt-5.5,GPT judge,1000,0.014666666666666666,0.0,-0.01533333333333333,0.04433333333333333,0.104,0.792,0.104,0.03039431077500957,0.9611524996002777,0.33670806948992654,249638.0,0.942936391162367,risk_score,paired_percentile_bootstrap_10000,contrast_of_contrasts
deepseek-chat,DeepSeek-chat,qwen3-8b-q8_0,Qwen judge,1000,0.0673,0.0,0.048799999999999996,0.08590249999999996,0.275,0.554,0.171,0.2239467107632393,7.081816805147811,2.680528239142225e-12,203398.5,1.587455348332952e-07,behavior_risk,paired_percentile_bootstrap_10000,load_coded_contrast
deepseek-chat,DeepSeek-chat,qwen3-8b-q8_0,Qwen judge,1000,0.1557,0.0,0.1326975,0.1785,0.365,0.531,0.104,0.41936534982605517,13.261496772036317,4.320840059358496e-37,142951.5,4.8702243968539835e-33,behavior_risk,paired_percentile_bootstrap_10000,scarcity_coded_contrast
deepseek-chat,DeepSeek-chat,qwen3-8b-q8_0,Qwen judge,1000,-0.07579999999999999,0.0,-0.11380000000000001,-0.0378,0.187,0.541,0.272,-0.12158259500226744,-3.8447792404097,0.00012829338835772163,215121.0,8.686754844893307e-05,behavior_risk,paired_percentile_bootstrap_10000,contrast_of_contrasts
deepseek-chat,DeepSeek-chat,qwen3-8b-q8_0,Qwen judge,1000,0.05225,0.0,0.034666666666666665,0.0705,0.336,0.383,0.281,0.18041429518383723,5.70520095234872,1.5304044157141877e-08,219505.5,0.000695621152901008,risk_score,paired_percentile_bootstrap_10000,load_coded_contrast
deepseek-chat,DeepSeek-chat,qwen3-8b-q8_0,Qwen judge,1000,0.10441666666666666,0.0,0.08266458333333332,0.12608333333333333,0.376,0.357,0.267,0.2984126700398759,9.436637199782972,2.6160895166002945e-20,191956.5,1.3495736697582283e-10,risk_score,paired_percentile_bootstrap_10000,scarcity_coded_contrast
deepseek-chat,DeepSeek-chat,qwen3-8b-q8_0,Qwen judge,1000,-0.026166666666666664,0.0,-0.062,0.009999999999999993,0.315,0.368,0.317,-0.04455129828648881,-1.4088357530286135,0.15919490609706502,243033.0,0.4263794518297531,risk_score,paired_percentile_bootstrap_10000,contrast_of_contrasts
deepseek-chat,DeepSeek-chat,llama-3.1-8b-instruct-q8_0,Llama judge,1000,0.0806,0.0,0.0665,0.095,0.438,0.365,0.197,0.3503799562218442,11.079987081311124,5.441931561434827e-27,157914.5,2.528738870938305e-24,behavior_risk,paired_percentile_bootstrap_10000,load_coded_contrast
deepseek-chat,DeepSeek-chat,llama-3.1-8b-instruct-q8_0,Llama judge,1000,0.0724,0.0,0.0562,0.0887,0.416,0.354,0.23,0.277342962671032,8.77035455059517,7.559565766507936e-18,179123.5,4.725688236913707e-15,behavior_risk,paired_percentile_bootstrap_10000,scarcity_coded_contrast
deepseek-chat,DeepSeek-chat,llama-3.1-8b-instruct-q8_0,Llama judge,1000,0.054400000000000004,0.0,0.023995000000000002,0.08480000000000001,0.353,0.371,0.276,0.1106380514465116,3.498682384538635,0.00048817248356713,220380.5,0.0009923259408768479,behavior_risk,paired_percentile_bootstrap_10000,contrast_of_contrasts
deepseek-chat,DeepSeek-chat,llama-3.1-8b-instruct-q8_0,Llama judge,1000,0.08941666666666667,0.0,0.07308333333333335,0.10583333333333335,0.448,0.349,0.203,0.33630166266245454,10.634792349149622,4.255839986790916e-25,160111.0,3.1603885136845453e-23,risk_score,paired_percentile_bootstrap_10000,load_coded_contrast
deepseek-chat,DeepSeek-chat,llama-3.1-8b-instruct-q8_0,Llama judge,1000,0.08225,0.0,0.06333333333333332,0.1015,0.423,0.335,0.242,0.26926371639726715,8.514866350569921,6.058355100688854e-17,180740.5,1.9933968025283827e-14,risk_score,paired_percentile_bootstrap_10000,scarcity_coded_contrast
deepseek-chat,DeepSeek-chat,llama-3.1-8b-instruct-q8_0,Llama judge,1000,0.06416666666666666,0.0,0.028829166666666666,0.0995,0.373,0.346,0.281,0.11323365177468757,3.5807624738638,0.00035908566254920916,218066.5,0.00039375398869036677,risk_score,paired_percentile_bootstrap_10000,contrast_of_contrasts
gemini-3.1-flash-lite-preview,Gemini,deepseek-v4-pro,DeepSeek judge,1000,0.0037,0.0,0.0008999999999999999,0.0068,0.04,0.937,0.023,0.07927278013360788,2.506825416759479,0.012339957592573433,241957.5,0.3085458652986296,behavior_risk,paired_percentile_bootstrap_10000,load_coded_contrast
gemini-3.1-flash-lite-preview,Gemini,deepseek-v4-pro,DeepSeek judge,1000,-0.0013000000000000002,0.0,-0.004600000000000001,0.002,0.03,0.935,0.035,-0.024093824806279918,-0.7619136393290968,0.44629138372099103,247817.5,0.7653579059462174,behavior_risk,paired_percentile_bootstrap_10000,scarcity_coded_contrast
gemini-3.1-flash-lite-preview,Gemini,deepseek-v4-pro,DeepSeek judge,1000,-0.0106,0.0,-0.017200000000000003,-0.0043950000000000725,0.022,0.933,0.045,-0.1015363934123544,-3.2108626858195612,0.0013656040133951327,238992.5,0.16755800042078428,behavior_risk,paired_percentile_bootstrap_10000,contrast_of_contrasts
gemini-3.1-flash-lite-preview,Gemini,deepseek-v4-pro,DeepSeek judge,1000,-0.00475,0.0,-0.0165,0.007333333333333332,0.248,0.49,0.262,-0.024714794284760443,-0.7815504184235509,0.43466401391767473,243475.5,0.4494477766015893,risk_score,paired_percentile_bootstrap_10000,load_coded_contrast
gemini-3.1-flash-lite-preview,Gemini,deepseek-v4-pro,DeepSeek judge,1000,-0.058416666666666665,0.0,-0.07083333333333335,-0.04591666666666667,0.174,0.463,0.363,-0.2907885115451864,-9.19554013892958,2.1146026858269008e-19,176051.0,1.3858143894471682e-16,risk_score,paired_percentile_bootstrap_10000,scarcity_coded_contrast
